,Site Name,Site Number,x,y
1,Bampton Grange,761260,352010.0,518079.0
2,Burnbanks,761103,350756.0,515939.0
3,Cliff Bridge,770302,341169.0,566195.0
4,Coal Burn,763117,369368.0,577778.0
5,Cummersdale,765013,339489.0,552735.0
6,Dacre Bridge,761706,346007.0,526287.0
7,Eamont Bridge,761104,352511.0,528561.0
8,Great Corby,762505,346825.0,555339.0
9,Greenholme,763308,348618.0,558072.0
10,Harraby Green,764009,341184.0,554500.0
11,Hynam Bridge,763201,356042.0,555756.0
12,Kirkby Stephen,760101,377299.0,509694.0
13,Newbiggin Bridge,764050,343561.0,551259.0
14,Pooley Bridge Upstream,761605,347228.0,524968.0
15,Sheepmount,765512,339063.0,557120.0
16,Stockdalewath,765850,338758.0,545020.0
17,Temple Sowerby,760502,360452.0,528312.0
18,Udford,762006,357570.0,530450.0
