Site Name,Site Number,Valid Since,Valid To,Rating Reference,Source Parameter,Rated Parameter,Segment,Equation,Stage Start,Stage End,c,a,b
Bampton Grange,761260,15/01/2011 07:00,Current,06,SG [Stage],FQ [Flow],1,Q=15.2663486952401*(stage-0.0727191835400523)^2.29300391989787,0.2395,1.3820,15.2663486952401,0.0727191835400523,2.29300391989787
Bampton Grange,761260,14/12/2008 17:30,15/01/2011 07:00,04,SG [Stage],FQ [Flow],1,Q=14.5712889003517*(stage-0.175224986714565)^1.75712377661668,0.2830,0.6540,14.5712889003517,0.175224986714565,1.75712377661668
Bampton Grange,761260,05/03/2007 19:45,14/12/2008 17:30,03,SG [Stage],FQ [Flow],1,Q=16.5070302281706*(stage-0.179093667444092)^1.87762145392669,0.2870,0.6820,16.5070302281706,0.179093667444092,1.87762145392669
Bampton Grange,761260,08/01/2005 05:00,05/03/2007 19:45,02,SG [Stage],FQ [Flow],1,Q=14.8478808844285*(stage-0.196806039850537)^1.74726491652391,0.2880,0.6225,14.8478808844285,0.196806039850537,1.74726491652391
Bampton Grange,761260,01/01/1753 00:00,08/01/2005 05:00,01,SG [Stage],FQ [Flow],1,Q=18.331573*(stage-0.173)^1.962233,0.2860,0.5970,18.331573,0.173,1.962233
Burnbanks,761103,01/04/1978 09:00,Current,03,SG [Stage],FQ [Flow],1,Q=11.9729*(stage+3.0E4)^1.50512,0.0300,0.2655,11.9729,-3.0E-4,1.50512
Burnbanks,761103,01/04/1978 09:00,Current,03,SG [Stage],FQ [Flow],2,Q=36.3431*(stage-0.07932)^1.84689,0.2655,1.0348,36.3431,0.07932,1.84689
Burnbanks,761103,01/04/1978 09:00,Current,03,SG [Stage],FQ [Flow],3,Q=62.9070129009406*(stage-0.573829695696209)^0.81706882652465,1.0348,1.5300,62.9070129009406,0.573829695696209,0.81706882652465
Cliff Bridge,770302,12/10/2005 06:45,Current,15,SG [Stage],FQ [Flow],1,Q=24.4815751277337*(stage-0.0779026472084537)^2.38950429935534,0.2730,0.4855,24.4815751277337,0.0779026472084537,2.38950429935534
Cliff Bridge,770302,12/10/2005 06:45,Current,15,SG [Stage],FQ [Flow],2,Q=18.3684082890821*(stage-0.116203372898834)^1.86437212325864,0.4855,2.0745,18.3684082890821,0.116203372898834,1.86437212325864
Cliff Bridge,770302,12/10/2005 06:45,Current,15,SG [Stage],FQ [Flow],3,Q=14.5662671939561*(stage+0.400955541422388)^1.63820680863876,2.0745,2.8850,14.5662671939561,-0.400955541422388,1.63820680863876
Cliff Bridge,770302,08/03/1998 04:00,12/10/2005 06:45,T14[migrated],SG [Stage],FQ [Flow],1,Q=24.5674*(stage+0.076)^3.06083,0.1640,0.6080,24.5674,-0.076,3.06083
Cliff Bridge,770302,08/03/1998 04:00,12/10/2005 06:45,T14[migrated],SG [Stage],FQ [Flow],2,Q=10.0023*(stage+0.302)^2.78642,0.6080,1.3150,10.0023,-0.302,2.78642
