"Station number","River","Location","Catchment area","Year opened","Year closed","Peak flow data","Daily data","Live data"
"76020","Petteril","Newbiggin Bridge","","2006","","No","Yes","No"
"25808","Burnt Hill","Moor House","0","1954","1961","Yes","No","No"
"25809","Bog Hill","Moor House","0","1954","1961","Yes","No","No"
"25810","Sike Hill","Moor House","0","1956","1962","Yes","No","No"
"23018","Ouse Burn","Woolsington","9","1991","","Yes","Yes","Yes"
"25003","Trout Beck","Moor House","11","1957","","Yes","Yes","Yes"
"25011","Langdon Beck","Langdon","13","1969","","Yes","Yes","Yes"
"25022","Balder","Balderhead Reservoir","20","1971","1980","No","Yes","No"
"24011","Wear","Burnhope Reservoir","21","1991","","No","Yes","Yes"
"25012","Harwood Beck","Harwood","25","1970","","Yes","Yes","Yes"
"75010","Marron","Ullock","28","1972","1981","No","Yes","No"
"76001","Haweswater Beck","Burnbanks","33","1951","","Yes","Yes","Yes"
"75006","Newlands Beck","Braithwaite","34","1968","1997","No","Yes","No"
"76023","Dacre Beck","Dacre Bridge","36","2000","","Yes","Yes","Yes"
"24006","Rookhope Burn","Eastgate","37","1957","1980","Yes","Yes","No"
"75001","St Johns Beck","Thirlmere Reservoir","42","1935","","Yes","Yes","Yes"
"74002","Irt","Galesyke","44","1967","","Yes","Yes","Yes"
"74003","Ehen","Bleach Green","44","1973","","Yes","Yes","Yes"
"24007","Browney","Lanchester","45","1968","1983","Yes","Yes","No"
"74006","Calder","Calder Hall","45","1964","","Yes","Yes","Yes"
"23016","Ouse Burn","Crag Hall","55","1976","","No","Yes","Yes"
"25023","Tees","Cow Green Reservoir","58","1971","","No","Yes","Yes"
"23017","Team","Team Valley","62","1991","","Yes","Yes","No"
"76019","Roe Beck","Stockdalewath","63","1999","","Yes","Yes","Yes"
"73013","Rothay","Miller Bridge House","64","1966","","No","Yes","Yes"
"75016","Cocker","Scalehill","64","1974","","No","Yes","Yes"
"75007","Glenderamackin","Threlkeld","65","1969","","Yes","Yes","Yes"
"76014","Eden","Kirkby Stephen","69","1971","","Yes","Yes","Yes"
"25021","Skerne","Bradbury","70","1973","","Yes","Yes","No"
